year,month,day,home,away,OT,hFinal,h1,h2,h3,h4,hOT1,hOT2,hOT3,aFinal,a1,a2,a3,a4,aOT1,aOT2,aOT3,hW,hL,hP,hGB,hPSG,hPAG,aW,aL,aP,aGB,aPSG,aPAG,dow,doy
1990,01,30,SAC,MIL,0,102,28,18,30,26,0,0,0,109,25,29,24,31,0,0,0,12,30,.286,19,102.0,106.6,25,19,.568,5,106.7,106.7,2,29
1990,01,30,IND,ORL,0,111,31,30,25,25,0,0,0,129,31,29,25,44,0,0,0,23,20,.535,6.5,108.4,108.7,13,30,.302,16.5,109.8,116.8,2,29
1990,01,30,NJN,PHO,0,95,28,27,18,22,0,0,0,120,31,27,32,30,0,0,0,12,31,.279,15.5,96.3,103.2,25,16,.610,5.5,113.8,106.0,2,29
1990,01,30,UTA,POR,0,98,15,30,31,22,0,0,0,122,30,27,36,29,0,0,0,29,12,.707,0,107.6,101.7,31,11,.738,0,111.2,105.1,2,29
1990,01,31,NYK,BOS,0,91,22,25,29,15,0,0,0,97,28,24,27,18,0,0,0,27,16,.628,0,109.4,107.0,26,16,.619,0.5,106.7,102.7,3,30
1990,01,31,HOU,DAL,0,91,29,20,31,11,0,0,0,98,28,28,20,22,0,0,0,20,23,.465,10.5,103.6,103.1,24,20,.545,7,101.9,101.2,3,30
1990,01,31,WSB,DET,0,109,29,16,30,34,0,0,0,133,29,39,31,34,0,0,0,15,29,.341,12.5,105.1,109.0,31,14,.689,0,103.5,98.2,3,30
1990,01,31,POR,GSW,0,130,32,34,30,34,0,0,0,135,22,31,43,39,0,0,0,31,12,.721,0.5,111.7,105.8,20,22,.476,11,115.1,118.5,3,30
1990,01,31,PHI,IND,0,112,33,29,30,20,0,0,0,108,30,28,27,23,0,0,0,27,16,.628,0,107.8,103.3,23,21,.523,7.5,108.4,108.8,3,30
1990,01,31,SEA,MIN,0,82,16,22,13,31,0,0,0,110,24,21,39,26,0,0,0,19,22,.463,11.5,107.8,106.6,9,33,.214,21,94.6,99.1,3,30
1990,01,31,CHH,SAS,0,95,29,26,15,25,0,0,0,129,32,25,32,40,0,0,0,8,33,.195,21.5,98.1,107.7,29,13,.690,1,105.1,101.7,3,30
1990,01,31,LAC,UTA,0,101,14,33,27,27,0,0,0,120,29,35,34,22,0,0,0,19,24,.442,12.5,103.9,104.3,30,12,.714,0,107.9,101.7,3,30
1990,02,01,NJN,DEN,0,112,26,30,30,26,0,0,0,123,31,33,33,26,0,0,0,12,32,.273,16,96.7,103.7,24,19,.558,6.5,115.4,112.7,4,31
1990,02,01,CHI,HOU,0,112,21,34,25,32,0,0,0,139,41,36,33,29,0,0,0,28,16,.636,2.5,109.2,106.7,21,23,.477,10,104.4,103.3,4,31
1990,02,01,ORL,MIL,0,111,26,27,19,39,0,0,0,129,35,33,28,33,0,0,0,13,31,.295,17.5,109.8,117.1,26,19,.578,5,107.2,106.8,4,31
1990,02,01,SAC,NYK,0,89,24,20,28,17,0,0,0,96,31,22,18,25,0,0,0,12,31,.279,19.5,101.7,106.3,28,16,.636,0,109.1,106.6,4,31
1990,02,01,ATL,PHO,0,90,24,26,17,23,0,0,0,102,22,24,26,30,0,0,0,21,21,.500,8.5,106.7,106.5,26,16,.619,5,113.5,105.6,4,31
1990,02,02,SAS,CHH,0,118,26,36,33,23,0,0,0,107,28,38,17,24,0,0,0,30,13,.698,1,105.4,101.8,8,34,.190,22.5,98.3,107.9,5,32
1990,02,02,NJN,GSW,0,109,23,28,31,27,0,0,0,128,38,30,35,25,0,0,0,12,33,.267,16.5,96.9,104.2,21,22,.488,11,115.4,118.3,5,32
1990,02,02,SEA,IND,0,87,25,19,19,24,0,0,0,86,21,24,21,20,0,0,0,20,22,.476,11.5,107.3,106.1,23,22,.511,8,107.9,108.3,5,32
1990,02,02,ATL,LAL,0,106,21,30,28,27,0,0,0,112,23,32,32,25,0,0,0,21,22,.488,9,106.7,106.6,32,11,.744,0,108.8,101.1,5,32
1990,02,02,LAC,MIA,0,91,25,20,25,21,0,0,0,126,28,29,31,38,0,0,0,19,25,.432,13.5,103.6,104.8,10,36,.217,19,99.1,109.7,5,32
1990,02,02,BOS,MIN,0,105,25,29,19,32,0,0,0,116,31,22,28,35,0,0,0,26,17,.605,1.5,106.7,103.0,10,33,.233,21,95.1,99.3,5,32
1990,02,02,MIL,PHI,0,109,30,34,26,19,0,0,0,119,29,24,36,30,0,0,0,26,20,.565,5.5,107.3,107.0,28,16,.636,0,108.0,103.4,5,32
1990,02,02,DAL,UTA,0,92,15,23,28,26,0,0,0,105,25,25,21,34,0,0,0,24,21,.533,8,101.7,101.2,31,12,.721,0,107.8,101.4,5,32
